title,episode_url,download_url
Ep 223: The Deutsch Files IV (ToKCast version),https://www.podbean.com/site/EpisodeDownload/PB170D6913BR5K,https://mcdn.podbean.com/mf/download/fn7ye6r84ccwhxze/ToKCast_Version_Deutsch_Filesar584.mp3
Ep 222: David Deutsch’s ”The Fabric of Reality” Chapter 12 ”TimeTravel” Part 1,https://www.podbean.com/site/EpisodeDownload/PB1708EAA24ZV4,https://mcdn.podbean.com/mf/download/4fvvv6xn3rpvanjp/Episode_222_Podcast9jqw9.mp3
Ep 221: Do Not Destroy The Means of Error Correction,https://www.podbean.com/site/EpisodeDownload/PB16E7488AMWGB,https://mcdn.podbean.com/mf/download/uhugyh2p232b34r5/Do_not_destroy_the_means_of_error_correction_podcast792v8.mp3
Ep 220: Criticism is never enough,https://www.podbean.com/site/EpisodeDownload/PB16E59C1FEFJM,https://mcdn.podbean.com/mf/download/kmp36qj72i696is6/Criticism_is_never_enough_podcast9nc7m.mp3
"Ep 219: Response to Peter Boghossian Part 3, Appendix",https://www.podbean.com/site/EpisodeDownload/PB16E3AC02VMGE,https://mcdn.podbean.com/mf/download/qupquggkk3ad9g7a/Part_3_podcast65f68.mp3
Ep 218: Peter Boghossian Response PART 2,https://www.podbean.com/site/EpisodeDownload/PB16E1E70JXHK6,https://mcdn.podbean.com/mf/download/uwjxyt2xakytpxvm/Part_2_Peter_Boghossian_Podcastatuu0.mp3
Ep: 217 Peter Boghossian Response Part 1,https://www.podbean.com/site/EpisodeDownload/PB16DED1AI9XWQ,https://mcdn.podbean.com/mf/download/kxx3hxtzt2pti69u/Part_1_Boghossian_Response_Podcast64y93.mp3
Ep 216: Astrobiology and Cancer,https://www.podbean.com/site/EpisodeDownload/PB16D0D22QFATU,https://mcdn.podbean.com/mf/download/7u53vgmvibr9kt58/Astrobiology_and_Cancer7asmg.mp3
Ep 215: Charley Lineweaver,https://www.podbean.com/site/EpisodeDownload/PB16C997BE4KSH,https://mcdn.podbean.com/mf/download/cqjxwpt63ji827zg/Charley_Lineweaver_Ep_215a8knn.mp3
"Ep 214: Resources, Wealth, Technology, Error Correction and Knowledge Creation",https://www.podbean.com/site/EpisodeDownload/PB1679E162CDEV,https://mcdn.podbean.com/mf/download/jh9fc8q5wtwxpvrn/Wealth_Energy_Resources_Podcast905ud.mp3
Ep 213: ToKCast in Auckland - live,https://www.podbean.com/site/EpisodeDownload/PB1665E4B72CSX,https://mcdn.podbean.com/mf/download/y33grte4u4z9cnsf/NDM_Podcast_final7zn0f.mp3
"Ep 212: Livestream 3, June 28 2024",https://www.podbean.com/site/EpisodeDownload/PB1653DE1VFVSH,https://mcdn.podbean.com/mf/download/knxt5trtdv8juiay/Livestream_3_Podcastb9huz.mp3
"Ep 211: Livestream 2, June 26 2024",https://www.podbean.com/site/EpisodeDownload/PB1651F78PBK3B,https://mcdn.podbean.com/mf/download/cfx5nei75azt2iim/Livestream_2_June_2663f7l.mp3
"Ep 210: Livestream - Question, Answer and repeat for 2+ hours",https://www.podbean.com/site/EpisodeDownload/PB164F0BEY2DME,https://mcdn.podbean.com/mf/download/7d2x8met5dqtyhum/Livestream_June_25bfyqq.mp3
Ep 209: Rational Decision Making,https://www.podbean.com/site/EpisodeDownload/PB1643A0BKZMDZ,https://mcdn.podbean.com/mf/download/s3wcbn9vfu95w68p/Rational_Decision_Making_Podcasta2qnx.mp3
Ep 208: David Deutsch’s ”The Fabric of Reality” Chapter 11 ”Time: The First Quantum Concept” Part 3,https://www.podbean.com/site/EpisodeDownload/PB1630B2CJ8N63,https://mcdn.podbean.com/mf/download/xtcxy4n9ts9kykid/Episode_208_Podcast6meze.mp3
Ep 207: Variations on a Conjecture,https://www.podbean.com/site/EpisodeDownload/PB161A740Q463T,https://mcdn.podbean.com/mf/download/mi99g9deb7gjxeec/Variations_on_a_Conjecture_2_Podcast8qzjf.mp3
Ep 206: Sam Kuypers (Time: The First Quantum Concept Part 3 - and more).,https://www.podbean.com/site/EpisodeDownload/PB15DC676TCV4M,https://mcdn.podbean.com/mf/download/kbxz77xq8va9jgd2/Time_final_edit_Podcast75abu.mp3
Ep 205: David Deutsch’s ”The Fabric of Reality” Chapter 11 ”Time: The First Quantum Concept” *Part 2*,https://www.podbean.com/site/EpisodeDownload/PB15B1518FT6GT,https://mcdn.podbean.com/mf/download/f3gg6n/Part_2_time_podcast8u2u4.mp3
Ep 204: David Deutsch’s ”The Fabric of Reality” Chapter 11 ”Time: The First Quantum Concept” Part 1,https://www.podbean.com/site/EpisodeDownload/PB1596E57RSI5K,https://mcdn.podbean.com/mf/download/2qsve2/Episode_204_Time_Podcastb6eui.mp3
Ep 203: David Deutsch’s ”The Fabric of Reality” Chapter 10 ”The Nature of Mathematics” Part 4,https://www.podbean.com/site/EpisodeDownload/PB15831ABU4T5I,https://mcdn.podbean.com/mf/download/ygx3wz/nature_of_maths_part_4_podcast8u60e.mp3
Ep 202: David Deutsch’s ”The Fabric of Reality” Chapter 10 ”The Nature of Mathematics” Part 3,https://www.podbean.com/site/EpisodeDownload/PB1579DB2ZP2ZK,https://mcdn.podbean.com/mf/download/9qmi2j/Ch_10_Part_3_PODCASTbm3uo.mp3
"Ep 201: Progress: Conserving the means of Error Correction. Free Speech, Free Trade and Democracy.",https://www.podbean.com/site/EpisodeDownload/PB1525C55ZZKEQ,https://mcdn.podbean.com/mf/download/karjpw/Progress_podcastbpc4k.mp3
Ep 200: Chiara Marletto,https://www.podbean.com/site/EpisodeDownload/PB1511514EI9PG,https://mcdn.podbean.com/mf/download/fy8zuz/Chiara_Brett_Podcast8lru9.mp3
Ep 199: David Deutsch’s ”The Fabric of Reality” Chapter 10 ”The Nature of Mathematics” Part 2,https://www.podbean.com/site/EpisodeDownload/PB14CA68D85UW2,https://mcdn.podbean.com/mf/download/rqsc67/Math_2_Podcast7whu2.mp3
Ep 198: Bayesianism,https://www.podbean.com/site/EpisodeDownload/PB14A3286XPKWC,https://mcdn.podbean.com/mf/download/57h2yz/Bayesianism_Podcasta15gu.mp3
Ep 197: David Deutsch’s ”The Fabric of Reality” Chapter 10 ”The Nature of Mathematics” Part 1: Introduction,https://www.podbean.com/site/EpisodeDownload/PB14A0000S9NKD,https://mcdn.podbean.com/mf/download/ehjjud/Nature_of_Mathematics_Ch_10_Podcastbc62u.mp3
Ep 196: The Mother Military,https://www.podbean.com/site/EpisodeDownload/PB1490936F93QG,https://mcdn.podbean.com/mf/download/nwrm9z/The_Mother_Military_Podcast7xrvi.mp3
"Ep 195: Knowledge, Wealth and Constructors",https://www.podbean.com/site/EpisodeDownload/PB14895BFZR89Q,https://mcdn.podbean.com/mf/download/5n9p8q/KWC_full_podcast9lg6s.mp3
Ep 194: David Deutsch’s ”The Fabric of Reality” Chapter 9 ”Quantum Computers” Part 4: Shor’s Algorithm,https://www.podbean.com/site/EpisodeDownload/PB146525CW5QMN,https://mcdn.podbean.com/mf/download/x4z5gs/Quantum_Computers_4_podcast60w15.mp3
Ep 193: Effortless Stoicism,https://www.podbean.com/site/EpisodeDownload/PB145A4E5QF439,https://mcdn.podbean.com/mf/download/ceqxm2/Effortless_Stoicism_Podcast67xus.mp3
Ep 192: Where do ideas come from?,https://www.podbean.com/site/EpisodeDownload/PB14442D8TKNQA,https://mcdn.podbean.com/mf/download/grnxq5/Where_do_ideas_come_from_podcast_79lpy.mp3
"Ep 191: Science News 2: Dark Matter, Fusion, JWST Latest",https://www.podbean.com/site/EpisodeDownload/PB1435512PDTQW,https://mcdn.podbean.com/mf/download/cnygye/Science_News_Podcast7h5bs.mp3
Ep 190: David Deutsch’s ”The Fabric of Reality” Chapter 9 ”Quantum Computers” Part3,https://www.podbean.com/site/EpisodeDownload/PB143137AQUFM5,https://mcdn.podbean.com/mf/download/tqjk83/Quantum_Computing_Part_3avoel.mp3
Ep 189: Epiphenomena,https://www.podbean.com/site/EpisodeDownload/PB13F0EDFE28IH,https://mcdn.podbean.com/mf/download/yk475t/Epiphenomena_3_Podcastb4q8y.mp3
Ep 188: Nick Bostrom on AI on ”Talk TV” - analysis,https://www.podbean.com/site/EpisodeDownload/PB13EAA98HS93N,https://mcdn.podbean.com/mf/download/ekhmsf/Bostrom_full_podcast9l8gg.mp3
Ep 187: Red Pens and Fallibilism,https://www.podbean.com/site/EpisodeDownload/PB13E199BX6C8P,https://mcdn.podbean.com/mf/download/8hxpm2/Podcast_Red_Pens_and_Fallibilismbbwhc.mp3
"Ep 186: Brett, Naval and more on AI & AGI",https://www.podbean.com/site/EpisodeDownload/PB13DA3E1KIWX7,https://mcdn.podbean.com/mf/download/684zpn/Full_Podcast_Naval_Podcast80o67.mp3
Ep 185: Possibility and Actuality. Facts and Counterfactuals.,https://www.podbean.com/site/EpisodeDownload/PB13CEDC9CH35H,https://mcdn.podbean.com/mf/download/nz8gna/Sam_and_Lex_final_podcastatwqt.mp3
Ep 184: ToKCast Digest - An Overview of Optimism,https://www.podbean.com/site/EpisodeDownload/PB13CBEE0WCQTQ,https://mcdn.podbean.com/mf/download/hbpzvw/ToKCast_Digest8y82w.mp3
Ep 183: St George in retirement syndrome on St Patrick’s day.,https://www.podbean.com/site/EpisodeDownload/PB13C23D6EZH2A,https://mcdn.podbean.com/mf/download/itmfnh/Livestream_17_March_POdcasta0twb.mp3
Ep 182: Livestream Science News and AMA,https://www.podbean.com/site/EpisodeDownload/PB13BC14DY8M4N,https://mcdn.podbean.com/mf/download/z5mwzq/Science_News_and_AMA_Podcast_47wkca.mp3
Ep 181: The Big Bang Livestream ToKCast,https://www.podbean.com/site/EpisodeDownload/PB13BAD4FT3UWP,https://mcdn.podbean.com/mf/download/wr5hh5/The_Big_Bang_podcast7xnvn.mp3
Ep 180: Livestream: ”The Open Hand of Reason”,https://www.podbean.com/site/EpisodeDownload/PB13B90E1NA4JQ,https://mcdn.podbean.com/mf/download/ncnpga/Full_Livestream_podcast_2bcgpv.mp3
"Ep 179: Livestream March 14, 2023",https://www.podbean.com/site/EpisodeDownload/PB13B68423RW2V,https://mcdn.podbean.com/mf/download/26srmh/Livestream_March_14_2023_podcastbrlff.mp3
"Ep 178: Its, Bits, Qubits *Part 2*",https://www.podbean.com/site/EpisodeDownload/PB13B1D7B5TETE,https://mcdn.podbean.com/mf/download/z9hihb/Its_Bits_Qubits_Part_2_podcast63lbq.mp3
"Ep 177: Its, Bits, Qubits. Part 1",https://www.podbean.com/site/EpisodeDownload/PB13B0322MK8ZW,https://mcdn.podbean.com/mf/download/fgg9ae/Final_It_from_Bit_podcastapinr.mp3
Ep 176: David Deutsch’s ”The Fabric of Reality” Chapter 9 ”Quantum Computers” Part 2,https://www.podbean.com/site/EpisodeDownload/PB13ABB7EBXHBS,https://mcdn.podbean.com/mf/download/5chmnb/Quantum_Computers_Podcast7gc96.mp3
Ep 175: Science News 1: Population III - The First Generation of Stars in the Universe Observed?,https://www.podbean.com/site/EpisodeDownload/PB13A8E80DXB58,https://mcdn.podbean.com/mf/download/r86jcx/JWST_Podcast_Finalamxng.mp3
Ep 174: A message for next millennium.,https://www.podbean.com/site/EpisodeDownload/PB138DC85YIYNM,https://mcdn.podbean.com/mf/download/yk5kkp/Descendents_Podcast8j72c.mp3
Ep 173: Brett Talks Twitter 2,https://www.podbean.com/site/EpisodeDownload/PB1376FB38PNE3,https://mcdn.podbean.com/mf/download/w9zkyh/TOkcast_twitter_podcastb75ul.mp3
Ep 172: Talents and Testing,https://www.podbean.com/site/EpisodeDownload/PB137344BFWIEX,https://mcdn.podbean.com/mf/download/dnvqmy/Talents_Podcastbaw88.mp3
Ep 171: Knowledge and Ignorance 6,https://www.podbean.com/site/EpisodeDownload/PB136BB29HH6YC,https://mcdn.podbean.com/mf/download/b5r8ur/On_the_sources_of_knowledge_and_of_ignorance_podcast7yxfq.mp3
